pinotUpdatedTs,orderId,taskId,imageUrl,originalUrl,imageDecision,isProfanityDetected,reviewAiCorrect,reviewConfusionMatrix,reviewComments
7/6/2026,2.00015E+14,44df6c91-c0ab-406c-beef-814e13449218,http://images.delivery.walmart.com/7cb83547-680b-4b94-8a71-682f813da7aa.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,7327c896-842c-87fb-de52-8091a4e7ff51,http://images.delivery.walmart.com/0a2111ea-b008-4cb7-b98f-5fd066ce6f49.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,1146d677-0625-a3a6-4777-ba3c5fb45b2c,http://images.delivery.walmart.com/2d2d2277-bddb-4982-9916-c5d73baca906.jpeg,http://images.delivery.walmart.com/faf52e75-8f51-4138-9db3-b2b1a09b4361.jpeg,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,f92e6fac-e907-46fc-aba2-7f0df8b91267,http://images.delivery.walmart.com/9f69c9a5-7d41-4b6e-8746-75a81e09c570.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,bc31cb22-cdda-4e6b-bf07-5ae3414c2ba6,http://images.delivery.walmart.com/c6619996-26b3-48fb-9c83-61682c7e4ca5.jpeg,http://images.delivery.walmart.com/56cb48fc-35af-4a00-a7da-1310a80f0d48.jpeg,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,28ad21fb-21ed-e2ef-2838-e713bc9abc72,http://images.delivery.walmart.com/a87c9705-3014-4b8c-8572-7fcdcf282faa.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,3b265f63-4aac-e6a8-aedc-3afc4488a97d,http://images.delivery.walmart.com/011f55fd-2e1f-46a8-8d51-1e5c9100137d.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,3d107cf4-e211-4156-8b50-055b5c643a1a,http://images.delivery.walmart.com/55506e1b-37d6-4382-a8fe-d8bed6268c1e.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,a0b46251-57b2-ad6b-29ed-2c0d9240e423,http://images.delivery.walmart.com/a8caec76-755f-476c-80db-44059d9bf334.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,aea55ab6-74c9-42f1-aadf-e34642561cde,http://images.delivery.walmart.com/dd186917-bf4a-45ee-9699-8cff9f853fdf.jpeg,null,unacceptable,TRUE,Yes,,Finger
7/6/2026,2.00015E+14,55239b5c-1737-41b3-96d0-d421cad20bdc,http://images.delivery.walmart.com/1e4196be-5150-441b-8c83-b10fed538f6d.jpeg,null,unacceptable,TRUE,,,
7/6/2026,2.00015E+14,77fdb1ed-c91e-4856-98db-6d54bb848844,http://images.delivery.walmart.com/441149cd-3910-4e47-8219-1205fcfcd0c2.jpeg,null,unacceptable,TRUE,,,
